,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
90,2021-10-12 16:48:26.540,-3.843857,-2.098935,12.873529,-0.01871,-0.005159,0.28637,7.663707,-26.787527,7.426776,-159.794813,9.959059,14.231307,drop_and_pickup
91,2021-10-12 16:48:26.590,-2.981949,-2.777923,10.638677,1.591665,0.374802,-0.045696,7.654291,-26.808416,7.979238,-158.942603,6.278174,14.960566,drop_and_pickup
92,2021-10-12 16:48:26.640,-2.403103,-1.559307,9.715097,1.600349,0.102215,-0.737947,8.151203,-25.963564,10.223136,-155.956134,2.268259,15.204244,drop_and_pickup
93,2021-10-12 16:48:26.690,-1.816173,-0.556543,8.005053,1.219281,0.017438,-0.745186,9.49717,-24.361008,12.341292,-152.836631,-0.769098,15.187527,drop_and_pickup
94,2021-10-12 16:48:26.740,-1.708547,0.013921,7.355554,0.527441,-0.068308,-1.037094,10.911859,-22.844925,13.320395,-149.58097,-1.77586,15.137314,drop_and_pickup
95,2021-10-12 16:48:26.790,-1.573678,0.271086,6.428831,0.173507,-0.664236,-0.865466,12.348963,-21.98168,13.500869,-147.021708,-1.731968,13.592951,drop_and_pickup
96,2021-10-12 16:48:26.840,-1.067131,0.602647,5.66467,-0.115861,-1.14757,-1.051263,14.052324,-21.270784,12.602594,-144.262449,-0.902127,10.631076,drop_and_pickup
97,2021-10-12 16:48:26.890,-0.532443,0.563728,4.107458,-0.548153,-1.039037,-1.342644,15.899187,-20.183907,11.226398,-140.806281,1.023717,7.575884,drop_and_pickup
98,2021-10-12 16:48:26.940,0.135169,1.32729,4.374803,-1.160173,-2.260596,-0.469631,17.575596,-19.295443,9.418854,-139.130129,4.401167,2.834364,drop_and_pickup
99,2021-10-12 16:48:26.990,-0.02874,0.62031,-0.167352,-1.222877,-2.646916,0.548838,18.407948,-19.869078,5.963824,-140.154932,8.035406,-4.765671,drop_and_pickup
100,2021-10-12 16:48:27.040,-0.084874,0.183818,-0.49547,-0.994239,-1.870488,1.044027,17.497688,-21.34938,2.403895,-142.597892,11.272108,-9.724862,drop_and_pickup
101,2021-10-12 16:48:27.090,-13.062137,-16.992065,81.212867,3.435848,0.274199,0.151319,14.790567,-22.659401,6.429717,-143.402791,8.680919,10.737136,drop_and_pickup
102,2021-10-12 16:48:27.140,-1.699566,-0.993185,1.338816,0.718281,0.125067,-0.003006,14.622293,-21.819151,9.59613,-142.89912,5.337373,8.610936,drop_and_pickup
103,2021-10-12 16:48:27.190,-0.201182,-0.033979,0.281564,0.135136,2.786573,0.21751,13.861512,-21.406338,11.384694,-143.260932,4.833603,15.758935,drop_and_pickup
104,2021-10-12 16:48:27.240,-3.738176,-1.216221,11.959231,-3.09327,-3.79704,-0.546355,13.236495,-21.890671,11.261373,-143.817029,11.095303,10.095817,drop_and_pickup
105,2021-10-12 16:48:27.290,-0.330812,-3.926485,15.841857,1.858074,0.245718,0.237887,14.651321,-22.319258,7.929445,-143.670237,7.903048,8.493613,drop_and_pickup
106,2021-10-12 16:48:27.339,-0.507744,-0.373473,4.716692,-0.411842,1.313286,0.055255,14.279987,-22.002693,9.405033,-143.99606,7.763568,11.796012,drop_and_pickup
107,2021-10-12 16:48:27.389,-1.545985,-0.966989,3.737578,-1.982945,1.906883,-0.136778,13.562776,-22.296116,9.948187,-144.864958,12.119028,16.347067,drop_and_pickup
108,2021-10-12 16:48:27.439,-6.932983,-2.905009,14.346616,1.323139,-3.413834,0.445372,13.52236,-22.803043,9.070803,-145.296285,9.431403,9.031784,drop_and_pickup
109,2021-10-12 16:48:27.489,-1.660198,-0.958607,10.89659,0.377268,0.395075,0.51761,13.744699,-22.922689,8.159964,-146.876123,8.038431,9.05541,drop_and_pickup
110,2021-10-12 16:48:27.539,-2.921624,-3.412005,11.442954,0.747791,0.390662,0.350183,13.02298,-23.139849,8.90597,-147.550447,6.017402,10.324377,drop_and_pickup
111,2021-10-12 16:48:27.589,-2.603686,-0.178579,12.224928,0.593345,0.028602,0.586894,12.441738,-23.01646,10.108,-148.620687,3.953178,10.758037,drop_and_pickup
112,2021-10-12 16:48:27.639,-1.907334,-1.211131,11.228001,0.604345,-0.001486,0.164369,12.093817,-22.977985,10.918648,-149.069139,2.183957,10.851391,drop_and_pickup
